r;inserts(s)
4;8.2E-13
4;8.2666666666667E-13
4;8.3666666666667E-13
4;8.4333333333333E-13
4;8.5E-13
4;8.5666666666667E-13
4;8.6333333333333E-13
4;8.7333333333333E-13
4;8.8E-13
4;8.9E-13
5;8.9666666666667E-13
5;9.0333333333333E-13
5;9.1333333333333E-13
5;9.2E-13
5;9.2666666666667E-13
5;9.3333333333333E-13
5;9.4333333333333E-13
5;9.5E-13
5;9.5666666666667E-13
5;9.6333333333333E-13
5;9.7E-13
5;9.7666666666667E-13
5;9.8666666666667E-13
5;9.9666666666667E-13
5;1.0033333333333E-12
5;1.0133333333333E-12
5;1.02E-12
5;1.03E-12
5;1.0366666666667E-12
5;1.0433333333333E-12
5;1.05E-12
5;1.0566666666667E-12
5;1.0633333333333E-12
5;1.0733333333333E-12
5;1.08E-12
5;1.0866666666667E-12
5;1.0933333333333E-12
5;1.1E-12
5;1.1066666666667E-12
5;1.1133333333333E-12
6;1.12E-12
6;1.13E-12
6;1.1366666666667E-12
6;1.1433333333333E-12
6;1.15E-12
6;1.1566666666667E-12
6;1.1633333333333E-12
6;1.17E-12
6;1.1766666666667E-12
6;1.1866666666667E-12
6;1.1933333333333E-12
6;1.2E-12
6;1.2066666666667E-12
6;1.2133333333333E-12
6;1.22E-12
6;1.2266666666667E-12
6;1.2366666666667E-12
6;1.2433333333333E-12
6;1.25E-12
6;1.2566666666667E-12
6;1.2633333333333E-12
6;1.27E-12
6;1.2766666666667E-12
6;1.2833333333333E-12
6;1.2933333333333E-12
6;1.3E-12
6;1.31E-12
6;1.3166666666667E-12
6;1.3233333333333E-12
6;1.33E-12
7;1.3366666666667E-12
7;1.3433333333333E-12
7;1.35E-12
7;1.36E-12
7;1.37E-12
7;1.38E-12
7;1.3866666666667E-12
7;1.3966666666667E-12
7;1.4033333333333E-12
7;1.4133333333333E-12
7;1.42E-12
7;1.4266666666667E-12
7;1.4333333333333E-12
7;1.44E-12
7;1.45E-12
7;1.4566666666667E-12
7;1.4633333333333E-12
7;1.47E-12
7;1.4766666666667E-12
7;1.4833333333333E-12
7;1.49E-12
7;1.5E-12
7;1.5066666666667E-12
7;1.5133333333333E-12
7;1.52E-12
7;1.5266666666667E-12
7;1.5333333333333E-12
7;1.54E-12
7;1.55E-12
7;1.5566666666667E-12
8;1.5633333333333E-12
8;1.57E-12
8;1.5766666666667E-12
8;1.5833333333333E-12
8;1.59E-12
8;1.5966666666667E-12
8;1.6066666666667E-12
8;1.6133333333333E-12
8;1.62E-12
8;1.6266666666667E-12
8;1.6333333333333E-12
8;1.64E-12
8;1.6466666666667E-12
8;1.6566666666667E-12
8;1.6633333333333E-12
8;1.67E-12
8;1.6766666666667E-12
8;1.6833333333333E-12
8;1.69E-12
8;1.6966666666667E-12
8;1.7066666666667E-12
8;1.7133333333333E-12
8;1.72E-12
8;1.7266666666667E-12
8;1.7333333333333E-12
8;1.74E-12
8;1.7466666666667E-12
8;1.7533333333333E-12
8;1.7633333333333E-12
8;1.77E-12
9;1.7766666666667E-12
9;1.7833333333333E-12
9;1.79E-12
9;1.7966666666667E-12
9;1.8066666666667E-12
9;1.8133333333333E-12
9;1.82E-12
9;1.83E-12
9;1.8366666666667E-12
9;1.8433333333333E-12
9;1.85E-12
9;1.8566666666667E-12
9;1.8633333333333E-12
9;1.8733333333333E-12
9;1.88E-12
9;1.8866666666667E-12
9;1.8933333333333E-12
9;1.9E-12
9;1.9066666666667E-12
9;1.9133333333333E-12
9;1.92E-12
9;1.93E-12
9;1.9366666666667E-12
9;1.9433333333333E-12
9;1.95E-12
9;1.96E-12
9;1.9666666666667E-12
9;1.9733333333333E-12
9;1.98E-12
9;1.9866666666667E-12
10;1.9933333333333E-12
10;2.0E-12
10;2.01E-12
10;2.0166666666667E-12
10;2.0233333333333E-12
10;2.03E-12
10;2.0366666666667E-12
10;2.0433333333333E-12
10;2.05E-12
10;2.0566666666667E-12
10;2.0633333333333E-12
10;2.07E-12
10;2.08E-12
10;2.0866666666667E-12
10;2.0933333333333E-12
10;2.1E-12
10;2.1066666666667E-12
10;2.1133333333333E-12
10;2.12E-12
10;2.1266666666667E-12
10;2.1333333333333E-12
10;2.14E-12
10;2.1466666666667E-12
10;2.1533333333333E-12
10;2.1633333333333E-12
10;2.17E-12
10;2.1766666666667E-12
10;2.1833333333333E-12
10;2.19E-12
10;2.1966666666667E-12
r;selects(s)
1;6.6666666666667E-15
1;1.3333333333333E-14
1;1.6666666666667E-14
1;2.0E-14
1;2.6666666666667E-14
1;3.0E-14
1;3.3333333333333E-14
1;4.0E-14
1;4.6666666666667E-14
1;5.0E-14
1;5.3333333333333E-14
1;5.6666666666667E-14
1;6.3333333333333E-14
1;6.6666666666667E-14
1;7.0E-14
1;7.6666666666667E-14
1;8.0E-14
1;8.3333333333333E-14
1;8.6666666666667E-14
1;9.3333333333333E-14
1;9.6666666666667E-14
1;1.0E-13
1;1.0666666666667E-13
1;1.1E-13
1;1.1333333333333E-13
1;1.1666666666667E-13
1;1.2333333333333E-13
1;1.2666666666667E-13
1;1.3E-13
1;1.3666666666667E-13
2;1.4E-13
2;1.4333333333333E-13
2;1.4666666666667E-13
2;1.5333333333333E-13
2;1.5666666666667E-13
2;1.6E-13
2;1.6666666666667E-13
2;1.7E-13
2;1.7333333333333E-13
2;1.7666666666667E-13
2;1.8333333333333E-13
2;1.8666666666667E-13
2;1.9E-13
2;1.9333333333333E-13
2;2.0E-13
2;2.0333333333333E-13
2;2.0666666666667E-13
2;2.1E-13
2;2.1666666666667E-13
2;2.2E-13
2;2.2333333333333E-13
2;2.3E-13
2;2.3333333333333E-13
2;2.3666666666667E-13
2;2.4E-13
2;2.4666666666667E-13
2;2.5E-13
2;2.5333333333333E-13
2;2.5666666666667E-13
2;2.6333333333333E-13
3;2.7E-13
3;2.7666666666667E-13
3;2.8E-13
3;2.8666666666667E-13
3;2.9E-13
3;2.9333333333333E-13
3;3.0E-13
3;3.0333333333333E-13
3;3.0666666666667E-13
3;3.1E-13
3;3.1666666666667E-13
3;3.2E-13
3;3.2333333333333E-13
3;3.2666666666667E-13
3;3.3333333333333E-13
3;3.3666666666667E-13
3;3.4E-13
3;3.4666666666667E-13
3;3.5E-13
3;3.5333333333333E-13
3;3.5666666666667E-13
3;3.6333333333333E-13
3;3.6666666666667E-13
3;3.7E-13
3;3.7333333333333E-13
3;3.8E-13
3;3.8333333333333E-13
3;3.8666666666667E-13
3;3.9333333333333E-13
3;3.9666666666667E-13
4;4.0E-13
4;4.0333333333333E-13
4;4.1E-13
4;4.1333333333333E-13
4;4.1666666666667E-13
4;4.2E-13
4;4.2666666666667E-13
4;4.3E-13
4;4.3333333333333E-13
4;4.4E-13
4;4.4333333333333E-13
4;4.4666666666667E-13
4;4.5E-13
4;4.5666666666667E-13
4;4.6E-13
4;4.6333333333333E-13
4;4.6666666666667E-13
4;4.7333333333333E-13
4;4.7666666666667E-13
4;4.8E-13
4;4.8666666666667E-13
4;4.9E-13
4;4.9666666666667E-13
4;5.0E-13
4;5.0666666666667E-13
4;5.1333333333333E-13
4;5.2E-13
4;5.2333333333333E-13
4;5.3E-13
4;5.3666666666667E-13
5;5.4E-13
5;5.4333333333333E-13
5;5.5E-13
5;5.5333333333333E-13
5;5.5666666666667E-13
5;5.6333333333333E-13
5;5.6666666666667E-13
5;5.7333333333333E-13
5;5.7666666666667E-13
5;5.8333333333333E-13
5;5.9E-13
5;5.9666666666667E-13
5;6.0333333333333E-13
5;6.0666666666667E-13
5;6.1E-13
5;6.1666666666667E-13
5;6.2E-13
5;6.2333333333333E-13
5;6.3E-13
5;6.3333333333333E-13
5;6.3666666666667E-13
5;6.4333333333333E-13
5;6.4666666666667E-13
5;6.5E-13
5;6.5333333333333E-13
5;6.6E-13
5;6.6333333333333E-13
5;6.6666666666667E-13
5;6.7333333333333E-13
5;6.7666666666667E-13
6;6.8E-13
6;6.8333333333333E-13
6;6.9E-13
6;6.9333333333333E-13
6;6.9666666666667E-13
6;7.0333333333333E-13
6;7.0666666666667E-13
6;7.1E-13
6;7.1333333333333E-13
6;7.2E-13
6;7.2333333333333E-13
6;7.2666666666667E-13
6;7.3E-13
6;7.3666666666667E-13
6;7.4E-13
6;7.4333333333333E-13
6;7.5E-13
6;7.5333333333333E-13
6;7.5666666666667E-13
6;7.6E-13
6;7.6666666666667E-13
6;7.7E-13
6;7.7666666666667E-13
6;7.8E-13
6;7.8333333333333E-13
6;7.8666666666667E-13
6;7.9333333333333E-13
6;7.9666666666667E-13
6;8.0E-13
6;8.0666666666667E-13
7;8.1E-13
7;8.1333333333333E-13
7;8.1666666666667E-13
7;8.2333333333333E-13
7;8.2666666666667E-13
7;8.3E-13
7;8.3666666666667E-13
7;8.4E-13
7;8.4333333333333E-13
7;8.4666666666667E-13
7;8.5333333333333E-13
7;8.5666666666667E-13
7;8.6E-13
7;8.6333333333333E-13
7;8.7E-13
7;8.7333333333333E-13
7;8.7666666666667E-13
7;8.8333333333333E-13
7;8.8666666666667E-13
7;8.9E-13
7;8.9333333333333E-13
7;9.0E-13
7;9.0333333333333E-13
7;9.0666666666667E-13
7;9.1E-13
7;9.1666666666667E-13
7;9.2E-13
7;9.2333333333333E-13
7;9.3E-13
7;9.3666666666667E-13
8;9.4E-13
8;9.4666666666667E-13
8;9.5333333333333E-13
8;9.5666666666667E-13
8;9.6333333333333E-13
8;9.7E-13
8;9.7333333333333E-13
8;9.8E-13
8;9.8333333333333E-13
8;9.9E-13
8;9.9333333333333E-13
8;9.9666666666667E-13
8;1.0033333333333E-12
8;1.0066666666667E-12
8;1.01E-12
8;1.0166666666667E-12
8;1.02E-12
8;1.0233333333333E-12
8;1.0266666666667E-12
8;1.0333333333333E-12
8;1.0366666666667E-12
8;1.04E-12
8;1.0466666666667E-12
8;1.05E-12
8;1.0533333333333E-12
8;1.06E-12
8;1.0633333333333E-12
8;1.0666666666667E-12
8;1.07E-12
8;1.0766666666667E-12
9;1.08E-12
9;1.0833333333333E-12
9;1.0866666666667E-12
9;1.0933333333333E-12
9;1.0966666666667E-12
9;1.1E-12
9;1.1066666666667E-12
9;1.11E-12
9;1.1133333333333E-12
9;1.1166666666667E-12
9;1.1233333333333E-12
9;1.1266666666667E-12
9;1.13E-12
9;1.1333333333333E-12
9;1.14E-12
9;1.1433333333333E-12
9;1.1466666666667E-12
9;1.1533333333333E-12
9;1.1566666666667E-12
9;1.16E-12
9;1.1633333333333E-12
9;1.17E-12
9;1.1733333333333E-12
9;1.1766666666667E-12
9;1.18E-12
9;1.1866666666667E-12
9;1.19E-12
9;1.1933333333333E-12
9;1.2E-12
9;1.2033333333333E-12
10;1.2066666666667E-12
10;1.2133333333333E-12
10;1.2166666666667E-12
10;1.22E-12
10;1.2266666666667E-12
10;1.23E-12
